data,titulo,fonte,polaridade,peso_impacto,categoria,resumo
2025-04-17 00:00:00-03:00,Empresa anuncia aumento de produção,Infomoney,1,0.27,mercado,Notícia sobre mercado publicada pela Infomoney.
2025-04-17 00:00:00-03:00,Lucro líquido supera expectativas,Valor Econômico,1,0.64,produção,Notícia sobre produção publicada pela Valor Econômico.
2025-04-17 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Reuters,0,0.19,internacional,Notícia sobre internacional publicada pela Reuters.
2025-04-22 00:00:00-03:00,Novo contrato bilionário fechado,Bloomberg,1,0.64,mercado,Notícia sobre mercado publicada pela Bloomberg.
2025-04-22 00:00:00-03:00,Expansão internacional aprovada,Reuters,1,0.12,mercado,Notícia sobre mercado publicada pela Reuters.
2025-04-22 00:00:00-03:00,Empresa anuncia aumento de produção,Valor Econômico,1,0.85,produção,Notícia sobre produção publicada pela Valor Econômico.
2025-04-23 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Reuters,-1,0.99,financeira,Notícia sobre financeira publicada pela Reuters.
2025-04-23 00:00:00-03:00,Mercado aguarda decisão de órgão regulador,Infomoney,0,0.65,produção,Notícia sobre produção publicada pela Infomoney.
2025-04-24 00:00:00-03:00,Mercado aguarda decisão de órgão regulador,Valor Econômico,0,0.36,ambiental,Notícia sobre ambiental publicada pela Valor Econômico.
2025-04-25 00:00:00-03:00,Executivo comenta perspectivas do setor,Exame,0,0.14,financeira,Notícia sobre financeira publicada pela Exame.
2025-04-25 00:00:00-03:00,Empresa anuncia aumento de produção,Infomoney,1,0.31,produção,Notícia sobre produção publicada pela Infomoney.
2025-04-25 00:00:00-03:00,Problemas técnicos em plataforma offshore,Exame,-1,0.66,governança,Notícia sobre governança publicada pela Exame.
2025-04-28 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Exame,0,0.63,produção,Notícia sobre produção publicada pela Exame.
2025-04-28 00:00:00-03:00,Produção interrompida devido a greve,Estadão,-1,0.65,mercado,Notícia sobre mercado publicada pela Estadão.
2025-04-28 00:00:00-03:00,Produção interrompida devido a greve,Exame,-1,0.16,governança,Notícia sobre governança publicada pela Exame.
2025-04-28 00:00:00-03:00,Novo contrato bilionário fechado,Reuters,1,0.97,governança,Notícia sobre governança publicada pela Reuters.
2025-04-29 00:00:00-03:00,Executivo comenta perspectivas do setor,Reuters,0,0.11,financeira,Notícia sobre financeira publicada pela Reuters.
2025-04-29 00:00:00-03:00,Problemas técnicos em plataforma offshore,Bloomberg,-1,0.32,mercado,Notícia sobre mercado publicada pela Bloomberg.
2025-04-30 00:00:00-03:00,Queda de receita surpreende analistas,Bloomberg,-1,0.55,internacional,Notícia sobre internacional publicada pela Bloomberg.
2025-04-30 00:00:00-03:00,Queda de receita surpreende analistas,Valor Econômico,-1,0.92,financeira,Notícia sobre financeira publicada pela Valor Econômico.
2025-04-30 00:00:00-03:00,Produção interrompida devido a greve,Infomoney,-1,0.7,mercado,Notícia sobre mercado publicada pela Infomoney.
2025-04-30 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Reuters,0,0.57,governança,Notícia sobre governança publicada pela Reuters.
2025-05-02 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Estadão,0,0.13,mercado,Notícia sobre mercado publicada pela Estadão.
2025-05-02 00:00:00-03:00,Lucro líquido supera expectativas,Infomoney,1,0.5,ambiental,Notícia sobre ambiental publicada pela Infomoney.
2025-05-05 00:00:00-03:00,Lucro líquido supera expectativas,Exame,1,0.64,produção,Notícia sobre produção publicada pela Exame.
2025-05-05 00:00:00-03:00,Lucro líquido supera expectativas,Infomoney,1,0.18,produção,Notícia sobre produção publicada pela Infomoney.
2025-05-06 00:00:00-03:00,Empresa mantém guidance para o ano,Infomoney,0,0.97,internacional,Notícia sobre internacional publicada pela Infomoney.
2025-05-06 00:00:00-03:00,Empresa anuncia aumento de produção,Infomoney,1,0.77,financeira,Notícia sobre financeira publicada pela Infomoney.
